Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Quantity;Minimal quantity
1;Size:select:1;S:1;27;1
1;Size:select:2;M:2;20;1
1;Size:select:3;L:3;2;1
1;Size:select:4;XL:4;26;1
2;Size:select:1;36:1;11;1
2;Size:select:2;37:2;17;1
2;Size:select:3;38:3;3;1
2;Size:select:4;39:4;28;1
2;Size:select:5;40:5;17;1
2;Size:select:6;41:6;13;1
2;Size:select:7;42:7;14;1
3;Size:select:1;XS:1;9;1
3;Size:select:2;S:2;25;1
3;Size:select:3;M:3;10;1
3;Size:select:4;L:4;26;1
4;Size:select:1;XS:1;27;1
4;Size:select:2;S:2;8;1
4;Size:select:3;M:3;4;1
4;Size:select:4;L:4;13;1
5;Size:select:1;32:1;13;1
5;Size:select:2;34:2;28;1
5;Size:select:3;36:3;12;1
5;Size:select:4;38:4;28;1
5;Size:select:5;40:5;28;1
5;Size:select:6;42:6;10;1
6;Size:select:1;34:1;14;1
6;Size:select:2;36:2;10;1
6;Size:select:3;40:3;27;1
6;Size:select:4;42:4;6;1
6;Size:select:5;44:5;25;1
7;Size:select:1;XS:1;6;1
7;Size:select:2;M:2;20;1
7;Size:select:3;L:3;4;1
7;Size:select:4;XL:4;11;1
8;Size:select:1;32:1;12;1
8;Size:select:2;34:2;25;1
8;Size:select:3;36:3;15;1
8;Size:select:4;38:4;11;1
8;Size:select:5;40:5;29;1
8;Size:select:6;42:6;26;1
8;Size:select:7;44:7;28;1
10;Size:select:1;36:1;4;1
10;Size:select:2;37:2;14;1
10;Size:select:3;37.5:3;1;1
10;Size:select:4;38:4;29;1
10;Size:select:5;39:5;24;1
10;Size:select:6;41:6;19;1
10;Size:select:7;41.5:7;15;1
11;Size:select:1;32:1;19;1
11;Size:select:2;34:2;19;1
11;Size:select:3;36:3;17;1
11;Size:select:4;38:4;20;1
11;Size:select:5;40:5;4;1
11;Size:select:6;42:6;27;1
12;Size:select:1;34:1;20;1
12;Size:select:2;36:2;14;1
12;Size:select:3;38:3;21;1
12;Size:select:4;40:4;3;1
12;Size:select:5;42:5;15;1
13;Size:select:1;S:1;27;1
13;Size:select:2;M:2;6;1
13;Size:select:3;L:3;5;1
13;Size:select:4;XL:4;21;1
14;Size:select:1;34:1;22;1
14;Size:select:2;36:2;6;1
14;Size:select:3;38:3;24;1
14;Size:select:4;40:4;5;1
15;Size:select:1;XXS:1;14;1
15;Size:select:2;XS:2;27;1
15;Size:select:3;S:3;1;1
15;Size:select:4;M:4;11;1
15;Size:select:5;L:5;27;1
16;Size:select:1;37:1;4;1
16;Size:select:2;38:2;17;1
16;Size:select:3;39:3;14;1
16;Size:select:4;40:4;24;1
