ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
1;1;T-shirt basic - pink chance;clothing;139;1;139;1;;;;;RF-demo_2;RF-demo_2;Guess;Guess;7649144553164;;0;2.86;3.95;2.9;2.24;15;1;both;19;;;T-shirt basic - pink chance, SKU - GU121D0P7-J11;T-shirt basic - pink chance  Firma Guess  Rozmiary /XS/S/M/L;guess,basic,tee;guess-basic-tee;guess-basic-tee;guess-basic-tee;guess-basic-tee-t-shirt-basic-pink-chance-gu121d0p7-j11;W magazynie;Dostepny;1;2019-10-16;2019-10-16;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/GU/12/1D/0P/7J/11/GU121D0P7-J11@4.jpg;1;;1;new;0;1;0;0;0;0;0;0
2;1;HOUSEMARK GRAPHIC TEE - T-shirt z nadrukiem - white;clothing;99;1;99;1;;;;;RF-demo_3;RF-demo_3;Levi's®;Levi's®;3759858819175;;0;3.89;1.93;0.78;2.78;31;1;both;18;;;HOUSEMARK GRAPHIC TEE - T-shirt z nadrukiem - white, SKU - LE222O03M-A11;HOUSEMARK GRAPHIC TEE - T-shirt z nadrukiem - white  Firma Levi's®  Rozmiary /XS/L/XL/XXL/3XL;levisr,housemark,graphic;levisr-housemark-graphic;levisr-housemark-graphic;levisr-housemark-graphic;levisr-housemark-graphic-tee-t-shirt-z-nadrukiem-le222o03m-a11;W magazynie;Dostepny;1;2019-10-16;2019-10-16;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/LE/22/2O/03/MA/11/LE222O03M-A11@4.jpg;1;;1;new;0;1;0;0;0;0;0;0
3;1;KOLA - Ankle boot - black;shoe;169;1;169;1;;;;;RF-demo_4;RF-demo_4;RAID;RAID;5540750696253;;0;2.3;3.18;0.89;2.32;17;1;both;0;;;KOLA - Ankle boot - black, SKU - RAD11N011-Q11;KOLA - Ankle boot - black  Firma RAID  Rozmiary /36/37/38/39/40/41;raid,kola,ankle;raid-kola-ankle;raid-kola-ankle;raid-kola-ankle;raid-kola-ankle-boot-black-rad11n011-q11;W magazynie;Dostepny;1;2019-10-16;2019-10-16;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/RA/D1/1N/01/1Q/11/RAD11N011-Q11@13.jpg;1;;1;new;0;1;0;0;0;0;0;0
4;1;ORIGINAL TEE REGULAR FIT - T-shirt basic - black;clothing;99;1;99;1;;;;;RF-demo_5;RF-demo_5;Tommy Jeans;Tommy Jeans;2514020673851;;0;1.05;0.73;2.13;0.88;15;1;both;7;;;ORIGINAL TEE REGULAR FIT - T-shirt basic - black, SKU - TOB22O018-Q11;ORIGINAL TEE REGULAR FIT - T-shirt basic - black  Firma Tommy Jeans  Rozmiary /XS/S/M/L/XL/XXL;tommy,jeans,original;tommy-jeans-original;tommy-jeans-original;tommy-jeans-original;tommy-jeans-original-tee-regular-fit-t-shirt-basic-tob22o018-q11;W magazynie;Dostepny;1;2019-10-16;2019-10-16;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/TO/B2/2O/01/8Q/11/TOB22O018-Q11@8.jpg;1;;1;new;0;1;0;0;0;0;0;0
5;1;TROPICAL ESCAPE COLLECTION GIFT SET TRIO CORAL EUROPE - Zestaw do pielęgnacji - -;beauty;39;1;39;1;;;;;RF-demo_6;RF-demo_6;eos;eos;1569570118283;;0;3.2;2.44;0.12;3.94;36;1;both;16;;;TROPICAL ESCAPE COLLECTION GIFT SET TRIO CORAL EUROPE - Zestaw do pielęgnacji - -, SKU - EO131G009-T11;TROPICAL ESCAPE COLLECTION GIFT SET TRIO CORAL EUROPE - Zestaw do pielęgnacji - -  Firma eos;eos,tropical,escape;eos-tropical-escape;eos-tropical-escape;eos-tropical-escape;eos-tropical-escape-collection-gift-set-trio-coral-europe-zestaw-do-pielegnacji-eo131g009-t11;W magazynie;Dostepny;1;2019-10-16;2019-10-16;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/EO/13/1G/00/9T/11/EO131G009-T11@10.png;1;;1;new;0;1;0;0;0;0;0;0
6;1;Spodnie treningowe - black;clothing;199;1;199;1;;;;;RF-demo_7;RF-demo_7;adidas Originals;adidas Originals;2407154524113;;0;0.05;1.86;1.48;2.51;21;1;both;19;;;Spodnie treningowe - black, SKU - AD121A099-Q11;Spodnie treningowe - black  Firma adidas Originals  Rozmiary /32/34/36/38/40/42/44;adidas,originals,adicolor;adidas-originals-adicolor;adidas-originals-adicolor;adidas-originals-adicolor;adidas-originals-adicolor-spodnie-treningowe-ad121a099-q11;W magazynie;Dostepny;1;2019-10-16;2019-10-16;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/AD/12/1A/09/9Q/11/AD121A099-Q11@10.jpg;1;;1;new;0;1;0;0;0;0;0;0
7;1;LOGO CREW - Bluza - true black;clothing;149;1;149;1;;;;;RF-demo_8;RF-demo_8;GAP;GAP;6119081178527;;0;1.9;3.15;0.84;3.54;4;1;both;8;;;LOGO CREW - Bluza - true black, SKU - GP022S036-Q11;LOGO CREW - Bluza - true black  Firma GAP  Rozmiary /XS/S/M/L/XL/XXL;gap,logo,crew;gap-logo-crew;gap-logo-crew;gap-logo-crew;gap-logo-crew-bluza-gp022s036-q11;W magazynie;Dostepny;1;2019-10-16;2019-10-16;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/GP/02/2S/03/6Q/11/GP022S036-Q11@7.jpg;1;;1;new;0;1;0;0;0;0;0;0
8;1;Core  - Bluza - jet black;clothing;159;1;159;1;;;;;RF-demo_9;RF-demo_9;Guess;Guess;1315983038401;;0;2.82;1.9;3.39;3.91;10;1;both;12;;;Core  - Bluza - jet black, SKU - GU124K013-Q11;Core  - Bluza - jet black  Firma Guess  Rozmiary /176/122/128/128/134/134/140/146/152/158/164/170/176;guess,core,bluza;guess-core-bluza;guess-core-bluza;guess-core-bluza;guess-core-bluza-gu124k013-q11;W magazynie;Dostepny;1;2019-10-16;2019-10-16;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/GU/12/4K/01/3Q/11/GU124K013-Q11@6.jpg;1;;1;new;0;1;0;0;0;0;0;0
9;1;CLAUDE - Eleganckie buty - tan;shoe;819;1;819;1;;;;;RF-demo_10;RF-demo_10;Hudson London;Hudson London;1942133421340;;0;2.54;0.79;1.88;2.23;27;1;both;19;;;CLAUDE - Eleganckie buty - tan, SKU - HUC12M006-B11;CLAUDE - Eleganckie buty - tan  Firma Hudson London  Rozmiary /40/41/42/44/45/46;hudson,london,claude;hudson-london-claude;hudson-london-claude;hudson-london-claude;hudson-london-claude-oksfordki-huc12m006-b11;W magazynie;Dostepny;1;2019-10-16;2019-10-16;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/HU/C1/2M/00/6B/11/HUC12M006-B11@9.jpg;1;;1;new;0;1;0;0;0;0;0;0
10;1;PARLON PUFFER - Kurtka zimowa - black;clothing;489;1;489;1;;;;;RF-demo_11;RF-demo_11;Glorious Gangsta;Glorious Gangsta;2427052838088;;0;3.95;1.99;2.35;1.48;30;1;both;15;;;PARLON PUFFER - Kurtka zimowa - black, SKU - GLE22T006-Q11;PARLON PUFFER - Kurtka zimowa - black  Firma Glorious Gangsta  Rozmiary /XS/S/M/L/XL;glorious,gangsta,parlon;glorious-gangsta-parlon;glorious-gangsta-parlon;glorious-gangsta-parlon;glorious-gangsta-parlon-puffer-kurtka-zimowa-black-gle22t006-q11;W magazynie;Dostepny;1;2019-10-16;2019-10-16;1;https://mosaic04.ztat.net/vgs/media/catalog-lg/GL/E2/2T/00/6Q/11/GLE22T006-Q11@9.jpg;1;;1;new;0;1;0;0;0;0;0;0
